"Sitzschalen / Schaumstofflagerung";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.13 unzureichende Maßnahmen gegen Abrutschen";"ja";"fehlende oder defekte Positionierungssysteme";"Haut- oder Weichteilschädigungen, Skelettdeformitäten, Strangulation des Nutzers";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung Mitarbeiter bei Produktion und Anpassung,Schulung Anwender über Nutzung der verwendeten Positionierungssysteme, Hinweis Bedienungsanleitung.";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.18 scharfe Kanten und Ecken";"ja";"Ungenügende Verarbeitung von Kanten und Ecken an Aluminium Außenschale, Bauteile vorgefertigter Teile";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben, Haut oder Weichteilschädigungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Wareneingansgkontrolle, Schulung Mitarbeiter Produktion, Qualitätskontrolle, Unterweisung der Patienten";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.18 scharfe Kanten und Ecken
8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen
8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Raue oder scharfe Kanten an der Lagerung";"Haut- oder Weichteilschädigungen, Druckstellen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Prüfung vor Anprobe";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.2 unzureichende Gebrauchsanweisungen
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.3 unzureichender Spezifikationen von Zubehör, das mit dem Medizinprodukt anzuwenden ist
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.6 unzureichender Spezifikationen für Betrieb und Wartung";"ja";"Hinweise zu Nutzungsdauer, Anwendung, Reinigung, ...";"Falsche Anwendung, Handhabung, Reinigung, Nutzung - Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Gebrauchsanweisung überarbeiten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.3 unzureichender Spezifikationen von Zubehör, das mit dem Medizinprodukt anzuwenden ist";"ja";"Hinweise für Zubehörteile Nutzungsdauer, Anwendungen, Reinigung unzureichend.";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben, Haut oder Weichteilschädigungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung Mitarbeiter Produktion, Qualitätskontrolle, Unterweisung der Patienten";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Passformkontrolle, Statik, Patientenanforderung, Indikation";"unzureichende Paßform, Druckstellen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Arbeitsanweisungen einhalten / Überwachen durch Qualitätskontrolle";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Volumenschwankungen an der Extremität";"Insuffiziente Passform, Durchblutungsstörungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter, Adaptivität oder Kompressionsversorgung erwägen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"unsachgemäße Benutzung durch den Patienten, z.B.  Kontakt der Prothese mit Säuren oder Salzwasser";"Sturzgefahr durch Bruch, Materialermüdung von Prothesenteilen";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen, Instandhaltung/ Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Unzureichende Passform";"Hautschädigung bei Benutzung durch Druckstellen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Systematische Abformtechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Melden von Problemen, Inspektion / Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.6 unzureichender Spezifikationen für Betrieb und Wartung";"ja";"Anwendungshinweise, Kontrolltermine, Reinigungshinweise";"Falsche Anwendung, Handhabung, Reinigung, Nutzung - Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Gebrauchsanweisung überarbeiten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.7 Anwendung durch unausgebildetes/ungeübtes Personal";"ja";"Angehörige, Pflegekräfte";"Falsche Anwendung, Handhabung, Reinigung, Nutzung - Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten, Pflegepersonal, Angehörige durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.7 Anwendung durch unausgebildetes/ungeübtes Personal";"ja";"Eigenes / nicht fachmännisches Manipulieren am Hilfsmitte";"Vorzeitiger Verschleiß, Gefährdung des Versorgungsziels";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz - und Belastungsgrenzen, Handhabung / Funktionsweise, Instandhaltung, Risiken, Inspektion / Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"falsche Anziehtechnik";"Einklemmen von Körperteilen, Weichteilschädigung";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.11 mechanische Beschädigung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.12 fehlerhafte mechanische Verbindung";"ja";"Adapter, etc.";"ggf. unbrauchbar";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Arbeitsanweisungen einhalten / Überwachen durch Qualitätskontrolle. Reparatur. Auf Gebrauchsanweisung hinweisen. Schulung von Personal";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.9 unzureichende Festigkeit der Klemmverbindung
8 Gefährdungen infolge von Herstellungsfehlern 8.1 Fehlerhafte Zulieferkomponenten";"ja";"Fehlerhafte Bauteile, falsch montierte Bauteile v. Lieferanten z.B. vorgefertigte Adapter Kopfstütze, Armlehnen usw.";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben, Haut oder Weichteilschädigungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Wareneingangskontrolle, Kontrolle während der Produktion, Qualitätsendkontrolle";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.1 Fehler und Irrtümer in der Beurteilung";"ja";"Zu fest verschlossen";"Durchblutungsstörungen";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Einweisung durch qualifizierte Mitarbeiter; Anbringen von Markierungen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung
6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"falsche Verwendung des Produkts";"indikationsbedingte Versorgung evtl. nicht gegeben";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"ausreichende Kennzeichnung durch qualifizierte Mitarbeiter, Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.6 zweifelhafter oder unklarer Zustand des Gerätes";"ja";"Sichtbarer Verschleiß";"Beschädigung am Produkt, Verringerung der Benutzbarkeit";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"regelmäßige Prüfung und Einhaltung der Wartungsintervalle";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.2 fehlende oder unzureichende Spezifikationen für die Wartung einschließlich unzureichender Spezifikation für Funktionsprüfung nach der Wartung
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.3 unzureichende Wartung";"ja";"Mangelhafte Wartung oder unzureichende Wartungsintervalle; veränderte Passform / Funktion; sichtbarer Verschleiß";"indikationsbedingte Versorgung evtl. nicht gegeben, Verringerung der Benutzbarkeit, unzureichende Funktionalität bis hin zu Bruch der Orthese; Hautschädigung durch Materialermüdung";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Herstellerrichtlinien einhalten; Unterweisung der Patienten durch qualifizierte Mitarbeiter; Checklisten für Wartungstätigkeiten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Einsatz- und Belastungsgrenzen, Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.2 fehlende oder unzureichende Spezifikationen für die Wartung einschließlich unzureichender Spezifikation für Funktionsprüfung nach der Wartung
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.4 fehlende geeignete Festlegung, wann die Gebrauchsfähigkeit des Medizinprodukts ausläuft";"ja";"Die Nutzungsdauer ist nicht klar festgelegt";"Verschleißerscheingungen, unzureichende Festigkeit und Formstabilität; Verlust des therapeutischen/medizinischen Nutzens; Verschlechterung des Zustandes des Patienten";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Die Nutzungsdauer ist in der Gebrauchsanweisung hinterlegt";"wahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.3 unzureichende Wartung";"ja";"Mechanische Abnutzung";"Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Kontrolltermine einhalten, Reparatur";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit";"ja";"Lösen von Verschlussmechanismen";"fehlerhafte Anwendung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Wartungsmaßnahme nach Checkliste durchführen und in Checkliste dokumentieren, Endkontrolle durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.6 ungeeignete Verpackung (Verunreinigung und/oder Beeinträchtigung des Medizinprodukts)";"ja";"Mangelhafte Verpackung der Lagerung";"Zerstörung der lagerung während der Lagerung / Transport";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Ausreichende Verpackung, ausreichende Sicherung während des Transports";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko im Versandfall muss akzeptiert werden, da im Einzelfall ein Versand unumgänglich ist um die Versorgung im Sinne der Compliance sicherstellen zu können.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"Fehlende Hinweise bezüglich der Anwendung des Medizinproduktes für einen namentlich benannten /nicht benannten Nutzer in der Bedienugsanleitung";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben.";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung Mitarbeiter und Anwender über die Verwendung vom Sonderanfertigungen. Hinweise in der Bedienungsanleitung kennzeichnen.";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.1 Fehlerhafte Zulieferkomponenten";"ja";"Konformitätserklärung, Unbedenklichkeitsbescheinigungen sind nicht vorhanden";"ggf. unbrauchbar. Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anfordern, prüfen und Aktualisierung der entsprechenden Nachweise zur Weiterverarbeitung der Komponenten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.2 Fehlerhafte Wareneingangskontrolle";"ja";"ungeeignetes, fehlerhaftes Material";"Qualitätsverlust, Bruchgefahr";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Wareneingangskontrolle, Kontrolle während der Produktion, Qualitätsendkontrolle";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Einklemmen durch fehlende oder falsch positionierter Verschlusstechnik";"Hautschädigung durch Einklemmen im Bereich von Verschlüssen";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung, ggf. Änderung der Verschlusstechnik, Anprobe und Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
